PLA_pct,PBAT_pct,Thickness_um,Area_mm2,burial_depth_cm,Time_days,Temperature_C,Precipitation_mm,solar_rad_MJm2d,Soil_pH,soil_moisture_pct,soil_bulk_density,soil_clay_pct,soil_silt_pct,soil_sand_pct,soil_coarse_frag_pct,Soil_TN_mgkg,Soil_OC_gkg,micro_shannon,micro_chao1,compost,pre_photodegradation,plough,co2_emission,Target_DR_pct
100,0,534.14,12500,7,28,25,68.99994731,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.507963,16466.448,0,0,0,0,0.448
100,0,534.14,12500,7,21,25,50.81048925,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.507818,16466.448,0,0,0,0,0.425
100,0,534.14,12500,7,14,25,47.65937635,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.500018,16505.835,0,0,0,0,0.313
100,0,534.14,12500,7,7,25,47.57887635,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.500018,16858.225,0,0,0,0,0.201
100,0,534.02,12500,7,28,25,750.6717344,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589592,15511.9,0,0,0,0,4.567
100,0,534,12500,7,21,25,733.9323022,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589498,15511.9,0,0,0,0,3.694
100,0,534,12500,7,14,25,730.8066892,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589498,15511.9,0,0,0,0,2.642
100,0,534,12500,7,7,25,730.7441892,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589498,15511.9,0,0,0,0,1.276
100,0,534.13,12500,7,28,25,750.495357,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589592,20147.7,0,0,0,0,10.657
100,0,533.93,12500,7,21,25,733.1988247,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589498,20147.7,0,0,0,0,6.918
100,0,534,12500,7,14,25,730.8928892,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589498,20147.7,0,0,0,0,4.03
100,0,534,12500,7,7,25,730.7441892,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589498,20147.7,0,0,0,0,1.679
100,0,534.13,12500,7,28,25,750.5095505,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589592,20844.8,0,0,0,0,13.702
100,0,534.03,12500,7,21,25,733.1988247,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589498,20844.8,0,0,0,0,8.261
100,0,534.02,12500,7,14,25,730.8928892,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589498,20844.8,0,0,0,0,4.836
100,0,534,12500,7,7,25,730.7441892,0,5.8,60,117,25.8,34.3,42.1,111,185,3.348027842,5.589498,20844.8,0,0,0,0,1.992
20,0,4000,400,15,120,3.580833333,2175,0,5.5,39.499,117,25.1,33.8,41,69,164,3.219257541,5.5716,16639.854,0,0,0,0,58.182
20,0,4000,400,15,90,2.235555556,1500,0,5.5,39.499,117,25.1,33.8,41,69,164,3.219257541,5.5716,16639.854,0,0,0,0,56.161
20,0,4000,400,15,60,1.871666667,960,0,5.5,39.499,117,25.1,33.8,41,69,164,3.219257541,5.5716,16639.854,0,0,0,0,52.325
20,0,4000,400,15,30,1.436666667,480,0,5.5,39.624,117,25.1,33.8,41,69,164,3.219257541,5.3426,17601.869,0,0,0,0,38.585
40,0,4000,400,15,120,3.580833333,2175,0,5.5,39.499,117,25.1,33.8,41,69,164,3.219257541,5.5732,16639.854,0,0,0,0,42.828
40,0,4000,400,15,90,2.235555556,1500,0,5.5,39.499,117,25.1,33.8,41,69,164,3.219257541,5.5732,16639.854,0,0,0,0,37.979
40,0,4000,400,15,60,1.871666667,960,0,5.5,39.499,117,25.1,33.8,41,69,164,3.219257541,5.5732,16639.854,0,0,0,0,33.332
40,0,4000,400,15,30,1.436666667,480,0,5.5,39.624,117,25.1,33.8,41,69,164,3.219257541,5.3442,18069.634,0,0,0,0,18.787
60,0,4000,400,15,120,3.580833333,2175,0,5.5,41.4878,117,25.1,33.8,41,69,164,3.219257541,5.5732,17100.648,0,0,0,0,18.18
60,0,4000,400,15,90,2.235555556,1500,0,5.5,41.4878,117,25.1,33.8,41,69,164,3.219257541,5.5732,17100.648,0,0,0,0,14.947
60,0,4000,400,15,60,1.871666667,960,0,5.5,41.4878,117,25.1,33.8,41,69,164,3.219257541,5.5732,17051.851,0,0,0,0,11.111
60,0,4000,400,15,30,1.436666667,480,0,5.5,40.46613333,117,25.1,33.8,41,69,164,3.219257541,5.3442,18097.287,0,0,0,0,4.849
80,0,4000,400,15,120,3.580833333,2175,0,5.5,41.4878,117,25.1,33.8,41,69,164,3.219257541,5.629363,17084.036,0,0,0,0,6.463
80,0,4000,400,15,90,2.235555556,1500,0,5.5,39.81160952,117,25.1,33.8,41,69,164,3.219257541,5.628928,15834.463,0,0,0,0,4.646
80,0,4000,400,15,60,1.871666667,960,0,5.5,40.27946667,117,25.1,33.8,41,69,164,3.219257541,5.628928,14909.396,0,0,0,0,3.231
80,0,4000,400,15,30,1.436666667,480,0,5.5,39.3628,117,25.1,33.8,41,69,164,3.219257541,5.532728,17086.475,0,0,0,0,2.021
100,0,4000,400,15,120,3.580833333,2175,0,5.5,39.1128,117,25.1,33.8,41,69,164,3.219257541,5.629363,14943.789,0,0,0,0,1.008
100,0,4000,400,15,90,2.235555556,1500,0,5.5,39.1128,117,25.1,33.8,41,69,164,3.219257541,5.628928,14943.789,0,0,0,0,1.009
100,0,4000,400,15,60,1.871666667,960,0,5.5,39.4778,117,25.1,33.8,41,69,164,3.219257541,5.628783,14943.789,0,0,0,0,0.202
100,0,4000,400,15,30,1.436666667,480,0,5.5,39.4278,117,25.1,33.8,41,69,164,3.219257541,5.540583,15460.698,0,0,0,0,0.201
20,0,463.47,14562.312,10,35,14.12,164.08,0,7.65,15,132,31.2,47.4,21.4,137,134,1.786542923,5.089382,2784.946,0,0,0,0,67.351
20,0,463.47,14562.312,10,28,13.1,125,0,7.65,15,132,31.2,47.4,21.4,137,134,1.786542923,5.089382,2784.946,0,0,0,0,48.331
20,0,467.59,14562.312,10,21,13.1,93.75,0,7.65,15,132,31.2,47.4,21.4,137,134,1.786542923,5.089382,2784.946,0,0,0,0,46.15
20,0,467.59,14302.312,10,14,13.1,62.5,0,7.65,15,132,31.2,47.4,21.4,137,134,1.786542923,5.103462,2784.946,0,0,0,0,22.022
20,0,472.19,14302.312,10,7,13.1,31.25,0,7.65,15,132,31.2,47.4,21.4,137,134,1.786542923,5.107042,2784.946,0,0,0,0,7.543
30,0,463.47,14367.312,10,35,14.12,164.08,0,7.65,15,132,31.2,47.4,21.4,137,134,1.786542923,5.089382,2784.946,0,0,0,0,48.432
30,0,463.47,14367.312,10,28,13.1,125,0,7.65,15,132,31.2,47.4,21.4,137,134,1.786542923,5.089382,2784.946,0,0,0,0,38.871
30,0,467.59,14387.312,10,21,13.1,93.75,0,7.65,15,132,31.2,47.4,21.4,137,134,1.786542923,5.107482,2784.946,0,0,0,0,28.934
30,0,467.59,14107.312,10,14,13.1,62.5,0,7.65,15,132,31.2,47.4,21.4,137,134,1.786542923,5.107042,2784.946,0,0,0,0,18.427
30,0,472.19,14107.312,10,7,13.1,31.25,0,7.65,15,132,31.2,47.4,21.4,137,134,1.786542923,5.107042,2784.946,0,0,0,0,5.841
0,100,10,17225.553,20,145,20.44,81.88,0,8.6,51.75,142,24.5,47.3,28.3,185,209,10.81786543,5.255173,2586.521,0,0,1,0,28.942
0,100,10,17225.553,20,85,20.44,43.24,0,8.6,51.75,142,24.5,47.3,28.3,185,209,10.81786543,5.262533,2586.521,0,0,1,0,13.925
0,100,10,17225.553,20,68,20.44,34.57,0,8.6,51.75,142,24.5,47.3,28.3,185,209,10.81786543,5.262533,2586.521,0,0,1,0,13.813
0,100,10,17225.553,20,54,20.44,28.26,0,8.6,51.75,142,24.5,47.3,28.3,185,209,10.81786543,5.262533,2583.928,0,0,1,0,7.162
0,100,10,17225.553,20,36,20.44,25.11,0,8.6,51.75,142,24.5,47.3,28.3,185,209,10.81786543,5.262533,2583.048,0,0,1,0,4.356
0,100,10,17225.553,20,27,20.44,24.03,0,8.6,51.75,142,24.5,47.3,28.3,185,209,10.81786543,5.262533,2583.048,0,0,1,0,3.282
0,80,400.96,10000,10,60,26,226.0668011,0,6.9,35,123,30.4,20.2,49.4,83,159,1.850348028,4.0902,1667.822,0,0,0,0,6.633
0,80,400.96,10000,10,50,26,201.7041656,0,6.9,35,123,30.4,20.2,49.4,83,159,1.850348028,4.0902,1669.628,0,0,0,0,4.416
0,80,400.96,10000,10,40,26,133.1469118,0,6.9,35,123,30.4,20.2,49.4,83,159,1.850348028,4.0902,1669.628,0,0,0,0,4.294
0,80,400.96,10000,10,30,26,72.32509355,0,6.9,35,123,30.4,20.2,49.4,83,159,1.850348028,4.0922,1625.069,0,0,0,0,2.718
0,80,400.96,10000,10,20,26,60.58910968,0,6.9,35,123,30.4,20.2,49.4,83,159,1.850348028,4.0844,1619.273,0,0,0,0,2.425
0,80,400.96,10000,10,10,26,52.37076774,0,6.9,35,123,30.4,20.2,49.4,83,159,1.850348028,4.061,1619.273,0,0,0,0,1.79
0,80,419.335,10000,10,60,26,210.6368366,0,6.9,25,123,30.4,20.2,49.4,83,159,1.850348028,4.0902,1672.221,0,0,0,0,5.265
0,80,419.335,10000,10,50,26,201.1031108,0,6.9,25,123,30.4,20.2,49.4,83,159,1.850348028,4.0902,1669.628,0,0,0,0,4.416
0,80,419.335,10000,10,40,26,138.5589247,0,6.9,25,123,30.4,20.2,49.4,83,159,1.850348028,4.0902,1669.628,0,0,0,0,4.208
0,80,419.335,10000,10,30,26,85.27134193,0,6.9,25,123,30.4,20.2,49.4,83,159,1.850348028,4.0922,1625.069,0,0,0,0,2.632
0,80,419.335,10000,10,20,26,73.05300322,0,6.9,25,123,30.4,20.2,49.4,83,159,1.850348028,4.0844,1619.273,0,0,0,0,2.126
0,80,419.335,10000,10,10,26,65.54793871,0,6.9,25,123,30.4,20.2,49.4,83,159,1.850348028,4.063,1619.273,0,0,0,0,1.191
0,81.2,100,40000,10,150,22.16133333,43.1,0,7.84,45,139,24,43,33,140,30,6.049883991,5.21384,2457.785,0,0,1,0,68.57
0,81.2,100,40000,10,120,21.63083333,32.4,0,7.84,44,139,24,43,33,140,30,6.049883991,5.21384,2457.785,0,0,1,0,43.7
0,81.2,100,40000,10,90,20.36777778,21.2,0,7.84,46,139,24,43,33,140,30,6.049883991,5.22856,2457.785,0,0,1,0,28.35
0,81.2,100,40000,10,60,18.70166667,8.7,0,7.84,39,139,24,43,33,140,30,6.049883991,5.23592,2458.521,0,0,1,0,18.48
0,81.2,100,40000,10,30,15.6,0.9,0,7.84,34,139,24,43,33,140,30,6.049883991,5.21424,2460.646,0,0,1,0,14.21
0,81,100,40000,10,150,22.16133333,43.1,0,7.84,45,139,24,43,33,140,30,6.049883991,5.21384,2457.785,0,0,1,0,45.3
0,81,100,40000,10,120,21.63083333,32.4,0,7.84,44,139,24,43,33,140,30,6.049883991,5.22856,2457.785,0,0,1,0,26.39
0,81,100,40000,10,90,20.36777778,21.2,0,7.84,46,139,24,43,33,140,30,6.049883991,5.23592,2457.785,0,0,1,0,15.63
0,81,100,40000,10,60,18.70166667,8.7,0,7.84,39,139,24,43,33,140,30,6.049883991,5.23592,2458.521,0,0,1,0,8.25
0,81,100,40000,10,30,15.6,0.9,0,7.84,34,139,24,43,33,140,30,6.049883991,5.21424,2460.646,0,0,1,0,5.83
0,60,100,40000,10,150,22.16133333,43.1,0,7.84,45,139,24,43,33,140,30,6.049883991,5.22584,2457.785,0,0,1,0,63.29
0,60,100,40000,10,120,21.63083333,32.4,0,7.84,44,139,24,43,33,140,30,6.049883991,5.22584,2457.785,0,0,1,0,40.74
0,60,100,40000,10,90,20.36777778,21.2,0,7.84,46,139,24,43,33,140,30,6.049883991,5.24434,2457.785,0,0,1,0,22.4
0,60,100,40000,10,60,18.70166667,8.7,0,7.84,39,139,24,43,33,140,30,6.049883991,5.24792,2458.521,0,0,1,0,16.33
0,60,100,40000,10,30,15.6,0.9,0,7.84,34,139,24,43,33,140,30,6.049883991,5.22624,2460.646,0,0,1,0,12.44
5,65,65.825,1169.335,10.38,160,58,11475.73474,0,7.1,50,117,26.1,58.6,15.4,65,429,3.694895592,4.474871,10886.261,1,0,0,0,98.461
5,65,65.65,1169.335,10.38,140,58,10814.23474,0,7.1,50,117,26.1,58.6,15.4,65,500,3.694895592,4.474871,10886.261,1,0,0,0,97.576
5,65,65.65,1169.335,10.38,120,58,10814.23474,0,7.1,50,117,26.1,58.6,15.4,65,429,3.694895592,4.474871,10886.261,1,0,0,0,90.845
5,65,65.65,1169.335,10.38,100,58,7505.842843,0,7.1,50,117,26.1,58.6,15.4,65,429,3.694895592,4.474871,10883.668,1,0,0,0,83.806
5,65,65.65,1169.335,10.38,80,58,7502.17221,0,7.1,50,117,26.1,58.6,15.4,65,429,3.694895592,4.474871,10883.668,1,0,0,0,76.769
5,65,65.65,1169.335,10.38,60,58,4762.255139,0,7.1,50,117,26.1,58.6,15.4,65,429,3.694895592,4.486871,10881.075,1,0,0,0,59.269
5,65,65.65,1169.335,10.38,40,58,4240.342633,0,7.1,50,117,26.1,58.6,15.4,65,429,3.694895592,4.486871,10879.658,1,0,0,0,30.692
5,65,65.65,1169.335,10.38,20,58,4197.091916,0,7.1,50,117,26.1,58.6,15.4,65,429,3.694895592,4.489271,10886.629,1,0,0,0,14.423
0,60,42.5,20000,27.5,93,13.87526882,304.2,0,5.4,64.62,145,16.9,34.3,48.2,132,97,1.094547564,5.35368,4875.004,0,0,0,0,34.1
0,60,42.5,20000,27.5,62,16.41290323,236.1,0,5.4,64.62,145,16.9,34.3,48.2,132,97,1.094547564,5.3684,4875.179,0,0,0,0,31.9
0,60,42.5,20000,27.5,32,18.3,101,0,5.4,64.62,145,16.9,34.3,48.2,132,97,1.094547564,5.3684,4877.129,0,0,0,0,26.3
0,80,42.5,20000,27.5,93,13.87526882,304.2,0,5.4,64.62,145,16.9,34.3,48.2,132,97,1.094547564,5.27716,5328.827,0,0,0,0,12
0,80,42.5,20000,27.5,62,16.41290323,236.1,0,5.4,64.62,145,16.9,34.3,48.2,132,97,1.094547564,5.27716,5502.525,0,0,0,0,9.3
0,80,42.5,20000,27.5,32,18.3,101,0,5.4,64.67,145,16.9,34.3,48.2,132,97,1.094547564,5.27716,5483.562,0,0,0,0,6.8
0,100,42.5,20000,27.5,93,13.87526882,304.2,0,5.4,64.2575,145,16.9,34.3,48.2,132,97,1.094547564,5.27116,5381.796,0,0,0,0,2.3
0,100,42.5,20000,27.5,62,16.41290323,236.1,0,5.4,64.2575,145,16.9,34.3,48.2,132,97,1.094547564,5.27116,5428.154,0,0,0,0,2
0,100,42.5,20000,27.5,32,18.3,101,0,5.4,64.2575,145,16.9,34.3,48.2,132,97,1.094547564,5.27116,5202.846,0,0,0,0,1.3
0,60,42.5,20000,27.5,93,13.87526882,304.2,0,5.4,64.62,145,16.9,34.3,48.2,132,97,1.094547564,5.37218,5169.246,0,0,0,0,20.4
0,60,42.5,20000,27.5,62,16.41290323,236.1,0,5.4,64.62,145,16.9,34.3,48.2,132,97,1.094547564,5.37576,5335.973,0,0,0,0,17.8
0,60,42.5,20000,27.5,32,18.3,101,0,5.4,64.62,145,16.9,34.3,48.2,132,97,1.094547564,5.37576,5330.952,0,0,0,0,11.7
0,93.6,42.5,20000,27.5,93,13.87526882,304.2,0,5.4,64.2575,145,16.9,34.3,48.2,132,97,1.094547564,5.27716,5495.554,0,0,0,0,5.2
0,93.6,42.5,20000,27.5,62,16.41290323,236.1,0,5.4,64.2575,145,16.9,34.3,48.2,132,97,1.094547564,5.27716,5495.554,0,0,0,0,5.4
0,93.6,42.5,20000,27.5,32,18.3,101,0,5.4,64.2575,145,16.9,34.3,48.2,132,97,1.094547564,5.27716,5415.822,0,0,0,0,3.5
0,93.6,42.5,20000,27.5,93,13.87526882,304.2,0,5.4,64.2575,145,16.9,34.3,48.2,132,97,1.094547564,5.27716,5495.554,0,0,0,0,4.9
0,93.6,42.5,20000,27.5,62,16.41290323,236.1,0,5.4,64.2575,145,16.9,34.3,48.2,132,97,1.094547564,5.27716,5413.872,0,0,0,0,3.5
0,93.6,42.5,20000,27.5,32,18.3,101,0,5.4,64.2575,145,16.9,34.3,48.2,132,97,1.094547564,5.27716,5330.242,0,0,0,0,2.7
0,100,20,1500,10,98,20.48979592,653.3133333,0,6.6,32.9478,117,33.9,46.2,19.5,78,231,1.92575406,5.152,11510.861,0,0,0,0,69.94
0,100,20,1500,10,91,21.41208791,637.1,0,6.6,32.9478,117,33.9,46.2,19.5,78,231,1.92575406,5.152,11503.628,0,0,0,0,66.011
0,100,20,1500,10,84,21.77142857,610.5,0,6.6,32.9478,117,33.9,46.2,19.5,78,231,1.92575406,5.152,12251.226,0,0,0,0,62.815
0,100,20,1500,10,77,22.1961039,583.9,0,6.6,33.0078,117,33.9,46.2,19.5,78,231,1.92575406,5.152,12251.226,0,0,0,0,59.374
0,100,20,1500,10,70,22.36571429,557.3,0,6.6,33.0078,117,33.9,46.2,19.5,78,231,1.92575406,5.144,12251.226,0,0,0,0,58.134
