Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Air_Humidity_pct,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_TS_MPa
15,90,10,0,NA,NA,100,NA,NA,NA,1.547492575,23.70151189,60.63615492,NA,0.36,8.2,NA,28.65
30,NA,NA,3,NA,NA,NA,NA,NA,NA,2.121224068,22.38311056,54.70753114,NA,0.36,8.2,NA,34.54
45,NA,NA,5,NA,NA,NA,NA,NA,NA,11.30947843,19.37304484,55.75147574,NA,0.36,8.2,NA,38.79
60,NA,NA,7,NA,NA,NA,NA,NA,NA,13.45226681,17.52924578,53.93462773,NA,0.36,8.2,NA,38.47
60,NA,NA,10,NA,NA,NA,NA,NA,NA,13.45226681,17.52924578,53.93462773,NA,0.36,8.2,NA,36.11
15,2,98,NA,NA,NA,10,NA,NA,NA,6.815955974,17.90109024,75.31930245,NA,1.95,6.4,NA,54.57
30,4,96,NA,NA,NA,10,NA,NA,NA,29.26201909,16.50785336,70.97773792,NA,1.95,6.4,NA,52.15
45,6,94,NA,NA,NA,10,NA,NA,NA,68.98935605,13.56090486,70.54247583,NA,1.95,6.4,NA,50.04
60,8,92,NA,NA,NA,10,NA,NA,NA,81.9600299,11.38114221,67.91693112,NA,1.95,6.4,NA,49.55
60,10,90,NA,NA,NA,10,NA,NA,NA,81.9600299,11.38114221,67.91693112,NA,1.95,6.4,NA,45.51
60,100,0,NA,NA,NA,10,NA,NA,NA,81.9600299,11.38114221,67.91693112,NA,1.95,6.4,NA,56.31
15,0,100,0,NA,NA,230,NA,NA,NA,64.30341396,27.42119997,82.04462011,NA,1,4.6,NA,20.06
30,0,99.5,0.5,NA,NA,250,NA,NA,NA,179.9855137,27.24694375,83.1431673,NA,1,4.6,NA,19.62
45,0,99,1,NA,NA,250,NA,NA,NA,296.7376676,27.09664666,83.66242317,NA,1,4.6,NA,21.22
60,0,98.5,1.5,NA,NA,250,NA,NA,NA,439.6924791,27.02077423,84.21476736,NA,1,4.6,NA,17.24
60,0,98,2,NA,NA,260,NA,NA,NA,439.6924791,27.02077423,84.21476736,NA,1,4.6,NA,16.51
60,0,97,3,NA,NA,280,NA,NA,NA,439.6924791,27.02077423,84.21476736,NA,1,4.6,NA,16.14
15,0,70,30,0,NA,80,NA,NA,NA,36.23302421,20.2684455,74.53249806,NA,1.95,6.4,NA,43.89
30,0,70,30,0,NA,80,NA,NA,NA,125.0124667,18.95645663,72.36452098,NA,1.95,6.4,NA,61.9
45,0,70,30,0,NA,80,NA,NA,NA,177.3691447,16.30767161,71.96595935,NA,1.95,6.4,NA,62.2
60,0,70,30,0,NA,80,NA,NA,NA,181.5342139,14.50113877,68.32544481,NA,1.95,6.4,NA,62.3
60,0,70,30,0,NA,80,NA,NA,NA,181.5342139,14.50113877,68.32544481,NA,1.95,6.4,NA,62.1
60,0,70,30,0,NA,80,NA,NA,NA,181.5342139,14.50113877,68.32544481,NA,1.95,6.4,NA,62.4
60,0,70,30,0,NA,NA,NA,NA,NA,181.5342139,14.50113877,68.32544481,NA,1.95,6.4,NA,61.7
15,99.5,NA,0.5,NA,2,NA,NA,NA,NA,104.7590086,25.01604021,78.35042562,NA,1.12,7.8,NA,25
30,99,NA,1,NA,3,NA,NA,NA,NA,111.5106507,24.18194928,77.07090915,NA,1.12,7.8,NA,30
