name,longitude,latitude,Soil_pH,soil_clay_pct,soil_silt_pct,soil_sand_pct,Soil_OC_gkg,Soil_TN_mgkg,soil_bulk_density,soil_coarse_frag_pct
鄂城区,114.89523244558472,30.333364862300183,6.3,28.3,47.9,23.9,25.0,273.0,124.0,156.0
龙里县,106.98503278234318,26.502913558667792,5.9,25.1,43.9,31.1,43.5,389.0,116.0,232.0
华容区,114.71435617378002,30.484104562892824,6.7,31.5,49.9,18.6,29.0,284.0,122.0,116.0
梁子湖区,114.61718796228166,30.17080913037112,6.2,28.2,48.9,23.0,35.2,281.0,121.0,132.0
光明区,113.92690817288316,22.765971109385312,5.9,28.5,34.8,36.6,32.0,426.0,112.0,76.0
高陵区,109.06090366806264,34.50860705572627,7.7,21.3,53.9,24.8,17.3,137.0,133.0,113.0
三都水族自治县,107.9461632523417,25.84852847388471,5.7,28.8,45.1,26.2,44.6,495.0,117.0,167.0
坪山区,114.35734610996391,22.69115102924091,5.6,27.8,27.6,44.7,28.2,334.0,111.0,104.0
鄠邑区,108.58078239334766,33.998918072427415,6.1,19.4,46.2,34.4,61.8,504.0,114.0,165.0
惠水县,106.7120369708487,25.97962940845903,5.9,30.5,45.4,24.1,41.1,369.0,117.0,206.0
临潼区,109.2828186029678,34.4581172356034,7.4,21.2,48.5,30.3,20.8,126.0,133.0,133.0
长安区,108.93028424450522,34.036855508405765,7.5,23.4,51.6,24.9,24.4,181.0,131.0,138.0
雁塔区,108.92831250480168,34.212032173823786,,,,,,,,
阎良区,109.29216345282356,34.65936736318175,7.7,18.9,52.8,28.3,13.5,125.0,133.0,130.0
河口瑶族自治县,103.81449705428577,22.78660353886185,5.5,31.9,35.6,32.5,44.8,340.0,110.0,170.0
绿春县,102.23766106056634,22.87634449700072,5.4,30.0,40.8,29.2,51.6,452.0,107.0,203.0
金平苗族瑶族傣族自治县,103.09425907994056,22.78056062680077,5.6,31.2,38.5,30.3,35.7,321.0,120.0,183.0
隆安县,107.68478539207572,23.105539138062984,5.8,38.8,36.1,25.2,24.0,238.0,119.0,112.0
上林县,108.63510671657129,23.517733606733245,5.3,33.3,44.0,22.8,29.4,278.0,121.0,112.0
马山县,108.15880480249298,23.66051452339519,5.2,31.6,48.1,20.4,41.4,332.0,117.0,140.0
前锋区,106.86265615179867,30.53640580174928,6.2,29.9,40.1,30.0,38.9,334.0,131.0,131.0
龙城区,120.27861854514016,41.55837292046653,7.7,22.3,39.1,38.6,16.0,218.0,137.0,147.0
双塔区,120.54391993765267,41.57871726076532,7.7,24.5,39.8,35.8,19.9,222.0,134.0,170.0
华龙区,115.01838572946146,35.750670429543334,8.1,19.4,50.1,30.5,9.0,99.0,135.0,40.0
广安区,106.69345537335178,30.622460763024108,6.3,32.5,41.7,25.8,39.2,311.0,130.0,139.0
灞桥区,109.08871713805986,34.30501500606474,7.4,20.9,50.5,28.7,23.6,161.0,131.0,133.0
未央区,108.90928917045558,34.34342638452423,7.4,20.1,55.1,24.8,15.2,142.0,135.0,109.0
宾阳县,108.9294259143639,23.16444122377701,5.6,33.7,45.2,21.1,24.5,247.0,122.0,76.0
宣州区,118.7908464830272,30.94191639274864,6.1,33.9,52.8,13.3,23.5,242.0,125.0,80.0
北塔区,111.41467312444102,27.25199551297901,5.7,31.9,41.3,26.8,30.7,319.0,121.0,216.0
