Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Humidity,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_WVTR
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,789.88
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,404.351
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,375.309
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,362.394
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,280.537
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,213.346
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,25,90,NA,NA,NA,NA,261.411
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,30,90,NA,NA,NA,NA,448.133
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,35,90,NA,NA,NA,NA,659.751
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,40,90,NA,NA,NA,NA,734.44
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,45,90,NA,NA,NA,NA,834.025
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,50,90,NA,NA,NA,NA,1244.813
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,55,90,NA,NA,NA,NA,1630.705
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,23,30,NA,NA,NA,NA,224.172
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,23,50,NA,NA,NA,NA,230.747
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,23,70,NA,NA,NA,NA,276.685
NA,0,90.91,8.45,1,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,369.896
NA,90,10,NA,1,NA,40,NA,NA,NA,NA,38,90,NA,NA,NA,NA,38.51
NA,89.92,9.98,NA,1,NA,40,NA,NA,NA,NA,38,90,NA,NA,NA,NA,37.51
NA,89.55,9.95,NA,1,NA,40,NA,NA,NA,NA,38,90,NA,NA,NA,NA,34.46
NA,89.1,9.9,NA,1,NA,40,NA,NA,NA,NA,38,90,NA,NA,NA,NA,33.61
NA,88.2,9.8,NA,1,NA,40,NA,NA,NA,NA,38,90,NA,NA,NA,NA,41.29
0.5,90,10,NA,NA,2,6,1,3500,NA,NA,23,50,NA,NA,NA,NA,NA
1,90,10,NA,NA,2,6,1,3500,NA,NA,23,50,NA,NA,NA,NA,NA
2,90,10,NA,NA,2,6,1,3500,NA,NA,23,50,NA,NA,NA,NA,NA
2.5,90,10,NA,NA,2,6,1,3500,NA,NA,23,50,NA,NA,NA,NA,NA
3,90,10,NA,NA,2,6,1,3500,NA,NA,23,50,NA,NA,NA,NA,NA
0.5,90,10,NA,NA,1,12,1,2826,NA,NA,23,50,NA,NA,NA,NA,NA
1,90,10,NA,NA,1,12,1,2826,NA,NA,23,50,NA,NA,NA,NA,NA
2,90,10,NA,NA,1,12,1,2826,NA,NA,23,50,NA,NA,NA,NA,NA
2.5,90,10,NA,NA,1,12,1,2826,NA,NA,23,50,NA,NA,NA,NA,NA
3,90,10,NA,NA,1,12,1,2826,NA,NA,23,50,NA,NA,NA,NA,NA
NA,90,10,NA,1,NA,NA,NA,NA,NA,NA,30,90,NA,NA,NA,NA,127.034
NA,90,10,NA,1,NA,NA,NA,NA,NA,NA,30,90,NA,NA,NA,NA,120.576
NA,90,10,NA,1,NA,NA,NA,NA,NA,NA,30,90,NA,NA,NA,NA,167.67
NA,90,10,NA,1,NA,NA,NA,NA,NA,NA,30,90,NA,NA,NA,NA,190.61
NA,90,10,NA,1,NA,NA,NA,NA,NA,NA,30,90,NA,NA,NA,NA,259.6
NA,90,10,1,1,NA,NA,NA,NA,NA,NA,30,90,NA,NA,NA,NA,203.693
NA,90,10,1,1,NA,NA,NA,NA,NA,NA,30,90,NA,NA,NA,NA,276.775
NA,90,10,1,1,NA,NA,NA,NA,NA,NA,30,90,NA,NA,NA,NA,261.616
NA,90,10,1,1,NA,NA,NA,NA,NA,NA,30,90,NA,NA,NA,NA,300.12
NA,90,10,1,1,NA,NA,NA,NA,NA,NA,30,90,NA,NA,NA,NA,225.593
NA,0,70,NA,5,NA,61,NA,7392,NA,NA,23,50,NA,NA,NA,NA,187.23
NA,0,70,NA,2,NA,59,NA,7392,NA,NA,23,50,NA,NA,NA,NA,176.76
NA,0,70,NA,1,NA,60,NA,7392,NA,NA,23,50,NA,NA,NA,NA,147.6
NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,240.676
NA,0,80,2,2,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,250.141
NA,0,80,6,2,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,276.282
NA,0,80,10,2,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,309.634
NA,0,80,14,2,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,307.831
NA,0,80,18,2,NA,NA,NA,NA,NA,NA,23,90,NA,NA,NA,NA,298.366
NA,100,0,NA,NA,NA,20,2,23800,NA,NA,23,90,NA,NA,NA,NA,328.631
NA,100,0,NA,2,NA,20,2,23800,NA,NA,23,90,NA,NA,NA,NA,453.112
NA,100,0,NA,2,NA,20,2,23800,NA,NA,23,90,NA,NA,NA,NA,348.548
NA,100,0,NA,2,NA,20,2,23800,NA,NA,23,90,NA,NA,NA,NA,308.714
NA,80,0,NA,0,1,11,1,NA,608000,NA,38,90,NA,NA,NA,NA,342.39
NA,80,0,NA,0,1,11,2,NA,608000,NA,38,90,NA,NA,NA,NA,509.41
NA,80,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,628.096
NA,80,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,752.177
NA,80,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,876.252
NA,80,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,976.173
NA,70,0,NA,0,1,11,1,NA,608000,NA,38,90,NA,NA,NA,NA,218.894
NA,70,0,NA,0,1,11,2,NA,608000,NA,38,90,NA,NA,NA,NA,361.774
NA,70,0,NA,0,1,11,2,NA,608000,NA,38,90,NA,NA,NA,NA,499.245
NA,70,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,623.333
NA,70,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,752.77
NA,70,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,852.67
0,80,0,NA,0,1,11,1,NA,608000,NA,38,90,NA,NA,NA,NA,447.134
40,80,0,NA,0,1,11,2,NA,608000,NA,38,90,NA,NA,NA,NA,577.07
